RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	UTM	JOG	FC	DSG	PC	CC1	ADM1	ADM2	DIM	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME	FULL_NAME	FULL_NAME_ND	MODIFY_DATE
1	-570011	-805075	66.5666667	 -71.3	663400	-711800	CP98	NQ19-05	P	PPLL 		CA	14				N				NEDLUNG	Nedlung	Nedlung	1999-05-28
1	-570010	-805076	67.9166667	 -66.3333333	675500	-662000	FR13	NQ19-02	H	BAY		CA	14				V				NEDLUNGFIORD	Nedlung Fiord	Nedlung Fiord	1993-12-14
1	-570012	-805077	46.35	 -84.1166667	462100	-840700	GS23	NL16-06	T	PT		CA	08				N				NEDPOINT	Ned Point	Ned Point	1993-12-14
1	-570012	-805078	46.35	 -84.1166667	462100	-840700	GS23	NL16-06	T	PT		CA	08				V				NEDS	Nedʼs	Ned's	1993-12-14
1	-570009	-805079	57.4166667	 -72.9166667	572500	-725500	XJ26	NO18-09	H	LK		CA	10				V				NEDTUKLAKE	Nedtuk Lake	Nedtuk Lake	1993-12-14
1	-570013	-805080	48.4	 -89.2166667	482400	-891300	CU36	NM16-10	H	STM		CA	08				N				NEEBINGRIVER	Neebing River	Neebing River	1993-12-14
1	-573136	-805081	55.7166667	-106.0833333	554300	-1060500	DB37	NN13-01	H	LK		CA	11				V				NEEDLELAKE	Needle Lake	Needle Lake	1993-12-14
1	-570014	-805082	62.8	-136.2	624800	-1361200	MQ36	NP07-07	H	STM		CA	12				N				NEEDLEROCKCREEK	Needlerock Creek	Needlerock Creek	1993-12-14
1	-570015	-805083	49.8833333	-118.1166667	495300	-1180700	MR12	NM11-07	P	PPL		CA	02				N				NEEDLES	Needles	Needles	1993-12-14
1	-570018	-805084	70.2166667	 -79.9166667	701300	-795500	NT49	NR17-05	H	LK		CA	14				V				NEEGAARDLAKE	Neegaard Lake	Neegaard Lake	1993-12-14
1	-570016	-805085	49.2166667	 -99.3333333	491300	-992000	MV75	NM14-08	P	PPL		CA	03				N				NEELIN	Neelin	Neelin	1993-12-14
1	-570017	-805086	50.2333333	 -99.45	501400	-992700	MA66	NM14-05	P	PPL		CA	03				N				NEEPAWA	Neepawa	Neepawa	1993-12-14
1	-570188	-805087	49.8333333	 -88.5	495000	-883000	CA92	NM16-07	H	LK		CA	08				V				NEEPIGON LAKE	Lake Neepigon	Lake Neepigon	1998-03-24
1	-570189	-805088	48.9166667	 -88.0	485500	-880000	DV21	NM16-11	H	BAY		CA	08				V				NEEPIGONBAY	Neepigon Bay	Neepigon Bay	1993-12-14
1	-570191	-805089	49.0666667	 -88.2833333	490400	-881700	DV03	NM16-07	H	STM		CA	08				V				NEEPIGONRIVER	Neepigon River	Neepigon River	1993-12-14
1	-570018	-805090	70.2166667	 -79.9166667	701300	-795500	NT49	NR17-05	H	LK		CA	14				N				NEERGAARDLAKE	Neergaard Lake	Neergaard Lake	1993-12-14
1	-570019	-805091	69.4833333	 -81.5833333	692900	-813500	MT70	NR17-07	T	ISL		CA	14				N				NEERLONAKTOISLAND	Neerlonakto Island	Neerlonakto Island	1993-12-14
1	-569866	-805092	49.4833333	 -84.6333333	492900	-843800	FV78	NM16-09	H	LK		CA	08				V				NEGAGAMISIS	Negagamisis	Negagamisis	1993-12-14
1	-570020	-805093	43.55	 -65.4333333	433300	-652600	LP02	NK20-01	H	HBR		CA	07				V				NEGROHARBOR	Negro Harbor	Negro Harbor	1993-12-14
1	-570020	-805094	43.55	 -65.4333333	433300	-652600	LP02	NK20-01	H	HBR		CA	07				N				NEGROHARBOUR	Negro Harbour	Negro Harbour	1993-12-14
1	-570021	-805095	47.2333333	 -65.05	471400	-650300	LT43	NL20-01	P	PPL		CA	04				N				NEGUAC	Neguac	Neguac	1993-12-14
1	-570022	-805096	58.8666667	-118.3666667	585200	-1182200	MF22	NO11-04	H	STM		CA	01				N				NEGUSCREEK	Negus Creek	Negus Creek	1993-12-14
1	-570023	-805097	48.4666667	 -85.0	482800	-850000	FU47	NM16-12	H	LK		CA	08				N				NEGWAZULAKE	Negwazu Lake	Negwazu Lake	1993-12-14
1	-567208	-805098	48.6666667	-118.1	484000	-1180600	MP19	NM11-10	H	STM		CA	02				V				NEHOIALPITKWURIVER	NE-HOI-AL-PIT-KWU RIVER	NE-HOI-AL-PIT-KWU RIVER	1993-12-14
1	-570024	-805099	50.2333333	-107.25	501400	-1071500	CR36	NM13-04	P	PPL		CA	11				N				NEIDPATH	Neidpath	Neidpath	1993-12-14
1	-570025	-805100	52.8333333	-109.6333333	525000	-1093800	WD95	NN12-12	P	PPL		CA	11				N				NEILBURG	Neilburg	Neilburg	1993-12-14
1	-570026	-805101	73.15	 -89.0833333	730900	-890500	DG31	NS15-08	H	BAY		CA	14				N				NEILL PORT	Port Neill	Port Neill	1993-12-14
1	-570027	-805102	70.3833333	-128.0333333	702300	-1280200	WU30	NR09-04	H	LK		CA	13				N				NEILLAKE	Neil Lake	Neil Lake	1999-05-28
1	-570028	-805103	46.8	 -60.3333333	464800	-602000	QS08	NL20-06	H	COVE 		CA	07				V				NEILS	Neilʼs	Neil's	1993-12-14
1	-570028	-805104	46.8	 -60.3333333	464800	-602000	QS08	NL20-06	H	COVE 		CA	07				N				NEILSHARBOUR	Neils Harbour	Neils Harbour	1993-12-14
1	-570029	-805105	59.5	 -97.8333333	593000	-975000	NL69	NO14-03	H	LK		CA	03				N				NEJANILINILAKE	Nejanilini Lake	Nejanilini Lake	1993-12-14
1	-570030	-805106	53.75	 -78.2333333	534500	-781400	PV85	NN17-09	H	STM		CA	10				N		Nekopastik		NEKOPASTIKRIVER	Nekopastik River	Nekopastik River	1993-12-14
1	-576288	-805107	66.9166667	-129.3833333	665500	-1292300	VQ82	NQ09-05	H	LK		CA	13				V				NELLIEALICELAKE	Nellie-Alice Lake	Nellie-Alice Lake	1993-12-14
1	-570031	-805108	48.7666667	 -80.8	484600	-804800	NQ10	NM17-11	H	LK		CA	08				N				NELLIELAKE	Nellie Lake	Nellie Lake	1993-12-14
1	-564821	-805111	59.55	-124.0166667	593300	-1240100	DM40	NO10-01	H	STM		CA	02				V				NELSON	Nelson	Nelson	1993-12-14
1	-570032	-805109	49.4833333	-117.2833333	492900	-1171700	MQ78	NM11-08	P	PPL		CA	02				N				NELSON	Nelson	Nelson	1993-12-14
1	-571616	-805110	57.0666667	 -92.5833333	570400	-923500	WD22	NO15-08	P	PPL		CA	03				V				NELSON	Nelson	Nelson	1993-12-14
1	-570041	-805122	57.0666667	 -92.5	570400	-923000	WD32	NO15-08	H	STM		CA	03				N	FR	Nelson	Fleuve	NELSON FLEUVE	Fleuve Nelson	Fleuve Nelson	1998-03-24
